RANK	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	52	56	72	73	74	75	76	77	78	79	80	81	82	83
VERBATIM	drawing stroke	brush ID	brush radius	palette 	R color	G color	B color	A color	Blend Transparency	part mode	part acc	part texture	part acc center-x	part acc center-y	CA type	CA subtype	clear CA	clear layer	clear all Layers	copy track 1<->2	invert	cursor size	echo	echo neg	xy music	color music	brush radius music	part music	xy music replay	color music replay	brush radius music replay	track1 Flash track0 freq	track2 Flash track0 freq	track0 Flash CA freq	track1 Flash CA freq	track2 Flash CA freq	Flash back freq	Flash part freq	Flash part duration	pen pressure coef	pen angleH coef	pen angleV coef	tracks sync on/off	current drawing track	current video track	track0 decay sign	track 1 decay sign	track 2 decay sign	track0 decay	track1 decay	track2 decay	CA weight	track0 weight	track1 weight	track2 weight	image capture weight	track0 replay on/off	track1 replay on/off	track2 replay on/off	source_track0 record on/off	source_track1 record on/off	source_track2 record on/off	target_track0 record on/off	target_track1 record on/off	target_track2 record on/off	disp_track0 on/off	disp_track1 on/off	disp_track2 on/off	disp_track0 weight	disp_track1 weight	disp_track2 weight	auto_beat	CA decay sign	CA decay	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	video_onOff	initial Vs Current BG Subtraction	CA update step	interface mode shift
TYPE	int 	int 	float	float	float	float	float	float	float	int	float	float	float	float	int	int	bool	bool	bool	bool	bool	int	float	float	float	float	float	float	float	float	float	int	int	int	int	int	int	int	int	float	float	float	bool	int	int	sign	sign	sign	float	float	float	float	float	float	float	float	track	track	track	track	track	track	track	track	track	track	track	track	float	float	float	bool	sign	float	float	float	float	float	float	float	float	float	bool	bool	int	bool
ID	currentDrawingStroke	brushID	brushRadius	RGBspectrum	local_color_r	local_color_g	local_color_b	local_color_a	blendTransp	particleMode	part_acc_factor	particle_texture_ID	partAccCenter_0	partAccCenter_1	CAType	CASubType	clearCA	clearLayer	clearAllLayers	copyTrack12	invertAllLayers	cursorSize	echo	echoNeg	xy_spectrum_coef	color_spectrum_coef	brush_radius_vol_coef	part_acc_attack_coef	xy_spectrum_replay_coef	color_spectrum_replay_coef	brush_radius_vol_replay_coef	flashTrack0_freq_1	flashTrack0_freq_2	flashCA_freq_0	flashCA_freq_1	flashCA_freq_2	flashBack_freq	flashPart_freq	flashPart_duration	brush_radius_pressure_coef	brush_radius_angleHor_coef	brush_radius_angleVer_coef	tracksSync	currentDrawingTrack	currentVideoTrack	trackdecay_sign_0	trackdecay_sign_1	trackdecay_sign_2	trackdecay_0	trackdecay_1	trackdecay_2	CAweight	trackweight_0	trackweight_1	trackweight_2	FBCaptureWeight	track_replay_0	track_replay_1	track_replay_2	source_track_record_0	source_track_record_1	source_track_record_2	target_track_record_0	target_track_record_1	target_track_record_2	source_track_display_0	source_track_display_1	source_track_display_2	track_display_weight_0	track_display_weight_1	track_display_weight_2	auto_beat	CAdecay_sign	CAdecay	CAParams1	CAParams2	CAParams3	CAParams4	CAParams5	CAParams6	CAParams7	CAParams8	is_videoOn	initialVsCurrentBGSubtr	CAstep	interfaceMode
FUNCTION	currentDrawingStroke_callBack	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	partAccCenter_0_callBack	partAccCenter_1_callBack	NULL	NULL	clearCA_callBack	clearLayer_callBack	clearAllLayers_callBack	copyTrack12_callBack	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	track_replay_0_callBack	track_replay_1_callBack	track_replay_2_callBack	source_track_record_0_callBack	source_track_record_1_callBack	source_track_record_2_callBack	target_track_record_0_callBack	target_track_record_1_callBack	target_track_record_2_callBack	source_track_display_0_callBack	source_track_display_1_callBack	source_track_display_2_callBack	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	is_videoOn_callBack	NULL	NULL	NULL
GUI	NULL	brushID_can	brushRadius_can	RGBspectrum_can	local_color_r_can	NULL	NULL	NULL	NULL	particleMode_can	part_acc_factor_can	particle_texture_ID_can	NULL	NULL	CAType_can	CASubType_can	NULL	NULL	NULL	NULL	invertAllLayers_can	NULL	echo_can	echoNeg_can	xy_spectrum_coef_can	color_spectrum_coef_can	NULL	part_acc_attack_coef_can	xy_spectrum_replay_coef_can	color_spectrum_replay_coef_can	brush_radius_vol_replay_coef_can	flashTrack0_freq_can 1	flashTrack0_freq_can 2	flashCA_freq_can 0	flashCA_freq_can 1	flashCA_freq_can 2	flashBack_freq_can	flashPart_freq_can	flashPart_duration_can	brush_radius_pressure_coef_can	NULL	NULL	NULL	currentDrawingTrack_can	currentVideoTrack_can	trackdecay_sign_can 0	trackdecay_sign_can 1	trackdecay_sign_can 2	trackdecay_can 0	trackdecay_can 1	trackdecay_can 2	CAweight_can	trackweight_can 0	trackweight_can 1	trackweight_can 2	FBCaptureWeight_can	track_replay_can 0	track_replay_can 1	track_replay_can 2	source_track_record_can 0	source_track_record_can 1	source_track_record_can 2	target_track_record_can 0	target_track_record_can 1	target_track_record_can 2	NULL	NULL	NULL	NULL	NULL	NULL	auto_beat_can	CAdecay_sign_can	CAdecay_can	CAParams1_can	CAParams2_can	CAParams3_can	CAParams4_can	CAParams5_can	CAParams6_can	CAParams7_can	CAParams8_can	is_videoOn_can	initialVsCurrentBGSubtr_can	CAstep_can	interfaceMode_can
CHAR-	*	&	r	o	B	B	B	*	*	*	a	*	*	*	H	h	*	*	c	*	I	*	?	*	x	*	k	*	*	*	*	*	*	*	*	*	*	*	p	*	*	*	:	*	*	*	*	*	d	*	*	*	*	*	*	*	1	2	3	7	8	9	*	*	*	4	5	6	*	*	*	*	*	i	*	*	*	*	*	*	*	*	x	*	*	*
CHAR+	l	m	R	O	z	z	z	*	*	P	A	$	*	*	G	g	*	*	*	*	*	*	!	*	X	*	K	*	*	*	*	*	*	*	*	*	*	*	Q	*	*	*	*	0	0	*	*	*	D	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	I	*	*	*	*	*	*	*	*	*	*	*	*
STEP-	-1	-1	-1	-0.1	-1	-1	-1	0	-1	-1	-0.1	-1	-0.1	-0.1	-1	-1	0	0	0	0	0	-1	-0.1	-0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-0.001	-0.001	-0.001	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	-1	-0.001	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	0	0	-1	0
STEP+	1	1	1	0.1	1	1	1	1	1	1	0.1	1	0.1	0.1	1	1	0	0	0	0	0	1	0.1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001	0.001	0.001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	1	0
MIN OR EQUAL	0	0	0	-9999	0	0	0	0	-9999	0	-9999	0	-9999	-9999	0	0	0	0	0	0	0	0	0	0	-9999	0	-9999	0	0	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	-9999	-9999	-9999	0	0	0	-1	-1	-1	-9999	-9999	-9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9999	-9999	-9999	0	-1	-9999	0	0	0	0	0	0	0	0	0	0	1	0
